region,wage
Ilocos Region (Region I),340
Cagayan Valley (Region II),370
Central Luzon (Region III),420
CALABARZON (Region IV-A),400
MIMAROPA (Region IV-B),320
Bicol Region (Region V),310
Western Visayas (Region VI),395
Central Visayas (Region VII),404
Eastern Visayas (Region VIII),325
Zamboanga Peninsula (Region IX),316
Northern Mindanao (Region X),365
Davao Region (Region XI),396
SOCCSKSARGEN (Region XII),336
Metropolitan Manila,537
Cordillera Administrative Region (CAR),350
Caraga (Region XIII),320
Autonomous Region of Muslim Mindanao (ARMM),325
